lifesat,peopletrust,freewill,takeadvan,married,childs,fightcountry,impdem,beatchild,wageearn,incomecat,sex,educ,sacsecvalr,resemavalr
10,0,7,7,0,0,1,10,8,0,6,0,1,22.188801,34.743301
8,0,8,5,1,2,0,8,7,0,5,0,3,16.649,31.033998
3,0,8,4,1,0,0,10,9,0,2,0,1,37.674297,23.505301
4,0,5,4,1,2,1,9,7,1,6,1,5,52.264999,18.119999
1,0,3,8,1,3,0,9,8,0,3,0,2,48.0984,35.02
1,0,3,2,1,1,1,10,8,1,2,1,9,32.514999,39.771999
1,0,8,8,1,1,1,10,9,1,4,1,9,18.846399,36.362
1,0,5,5,1,3,0,10,1,0,1,0,5,9.8624992,21
1,0,7,3,1,0,1,10,1,1,1,1,5,13.1263,21
8,0,8,8,0,0,0,9,1,0,6,0,1,41.907997,27.82
6,0,8,6,1,1,1,9,8,1,5,1,5,7.1750002,27.623999
7,0,8,8,1,3,0,8,5,0,5,0,5,15.876301,31.448702
6,0,8,8,1,2,0,8,1,0,8,0,5,19.399,16.052
8,0,7,7,1,2,0,10,6,0,5,0,5,4.4250002,36.0853
5,0,7,8,1,2,0,10,1,0,5,0,3,32.801899,14.71
9,0,10,10,1,2,0,10,1,1,7,1,7,35.3708,30.504
1,0,4,7,1,2,1,10,2,0,3,0,4,37.410797,52.173298
3,0,7,3,1,2,1,10,8,1,3,1,4,32.514999,30.072001
2,0,2,4,1,2,0,8,3,0,2,0,1,65.160797,55.133999
3,0,2,4,1,2,0,8,3,0,2,0,1,57.628204,45.629997
7,1,9,5,1,4,0,10,9,1,1,1,2,14.8365,30.504
8,0,9,8,1,3,0,8,9,0,5,0,9,32.5429,20.804001
8,0,8,8,0,0,0,8,1,0,3,0,1,18.3048,23.505301
4,0,4,6,1,1,1,4,8,0,3,0,9,51.355396,26.696699
4,0,7,5,1,0,1,4,4,1,4,1,5,42.551899,40.733997
4,0,4,4,1,3,0,7,6,1,5,1,9,52.033901,33.481998
3,0,4,6,1,0,1,5,6,1,3,1,5,49.2505,29.161999
4,0,6,5,1,0,0,7,5,0,2,0,1,54.844803,48.130001
4,0,5,4,1,1,0,10,7,0,2,0,1,61.761398,27.82
4,0,7,4,1,1,0,9,5,1,4,1,5,44.736801,31.23
3,0,4,4,1,1,0,8,3,0,2,0,1,64.623703,13.172001
7,0,8,8,0,0,0,10,1,0,4,0,1,8.9875002,27.82
10,0,10,10,1,2,1,10,1,1,7,1,9,7.9478002,21
