"","V161003","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161109","V161126","V161134A","V161178","V161181","V161184","V161187","V161189","V161198","V161201","V161295","V161361X","V162096","V162097","V162098","V162099","V162100","V162101","V162105"
"1",1,85,0,40,50,85,15,85,70,50,70,15,3,3,55,6,4,3,1,2,2,2,20,26,100,85,50,100,40,30,50
"2",3,10,90,60,50,60,50,20,60,50,40,80,0,3,40,4,3,6,1,5,7,2,40,3,40,70,75,50,40,60,90
"3",2,0,70,50,50,30,70,0,0,60,30,85,2,4,70,4,5,2,3,4,7,3,60,17,40,40,85,85,30,40,50
"4",3,40,40,40,50,50,50,30,40,50,50,50,5,4,40,3,5,2,3,6,6,1,60,9,40,50,50,50,40,50,50
"5",2,0,60,50,60,40,60,0,0,50,15,15,4,4,46,3,4,5,1,4,5,4,50,25,40,60,70,85,40,60,70
"6",1,85,0,50,50,50,0,100,85,50,85,15,3,2,63,6,6,2,1,4,3,2,44,26,100,100,30,100,50,70,70
"7",1,0,60,0,0,0,50,15,0,0,0,15,0,6,40,3,5,5,3,6,6,3,35,19,85,15,0,85,60,85,70
"8",2,40,60,50,50,60,70,85,70,40,40,40,4,3,43,5,6,2,1,6,6,5,60,22,40,60,60,100,70,40,30
"9",2,70,50,60,70,50,70,85,60,85,60,70,5,4,60,4,5,4,1,5,6,4,19,2,60,60,40,85,70,50,70
"10",2,15,70,50,50,50,70,40,30,50,30,70,1,5,42,3,6,5,3,5,6,6,42,22,50,40,30,60,70,70,50
"11",1,15,40,100,60,50,40,50,70,30,30,30,1,5,52,3,2,4,2,5,4,5,39,15,30,30,85,70,15,85,40
"12",3,60,15,50,50,50,50,70,60,50,70,70,2,4,60,4,3,6,1,6,5,6,40,22,70,70,85,100,70,70,60
"13",2,70,0,15,30,50,30,60,60,50,15,0,0,3,80,7,1,1,1,1,1,1,48,9,60,40,65,60,20,20,20
"14",2,85,40,50,50,50,15,85,70,50,85,40,4,3,82,5,5,4,1,5,5,3,45,14,70,70,60,50,40,50,50
"15",4,15,85,50,30,50,70,15,30,50,15,15,3,5,38,4,5,4,3,3,4,4,30,20,50,0,30,60,70,60,60
"16",3,85,0,40,30,70,0,100,85,50,40,30,3,2,60,7,3,1,1,4,3,2,50,24,100,85,70,100,85,70,100
"17",2,40,15,60,15,40,30,60,85,50,70,30,5,4,60,3,6,3,3,5,3,2,40,27,85,70,70,60,50,40,60
"18",1,10,0,15,60,10,40,100,85,40,85,0,0,2,85,5,6,5,1,5,4,3,8,12,100,60,70,100,60,30,50
"19",1,85,15,50,50,70,40,85,70,50,70,30,0,3,51,4,4,4,1,4,4,3,3,14,100,70,70,100,60,85,70
